,0
0,ACGAM1PPpp: acgam1p_p + h2o_p --> acgam_p + pi_p
1,2AGPA140tipp: 2tdecg3p_p --> 2tdecg3p_c
2,EX_acser_e: acser_e --> 
3,2AGPA141tipp: 2tdec7eg3p_p --> 2tdec7eg3p_c
4,2AGPA160tipp: 2hdecg3p_p --> 2hdecg3p_c
5,3OAR180: 3ooctdACP_c + h_c + nadph_c <=> 3hoctaACP_c + nadp_c
6,2AGPA161tipp: 2hdec9eg3p_p --> 2hdec9eg3p_c
7,3OAR181: 3ocvac11eACP_c + h_c + nadph_c --> 3hcvac11eACP_c + nadp_c
8,2AGPA180tipp: 2odecg3p_p --> 2odecg3p_c
9,3OAR40: actACP_c + h_c + nadph_c <=> 3haACP_c + nadp_c
10,2AGPA181tipp: 2odec11eg3p_p --> 2odec11eg3p_c
11,3OAR60: 3ohexACP_c + h_c + nadph_c <=> 3hhexACP_c + nadp_c
12,3OAR80: 3ooctACP_c + h_c + nadph_c <=> 3hoctACP_c + nadp_c
13,3OAS100: h_c + malACP_c + ocACP_c --> 3odecACP_c + ACP_c + co2_c
14,2AGPE120tipp: 2agpe120_p --> 2agpe120_c
15,3OAS120: dcaACP_c + h_c + malACP_c --> 3oddecACP_c + ACP_c + co2_c
16,3OAS121: cdec3eACP_c + h_c + malACP_c --> 3ocddec5eACP_c + ACP_c + co2_c
17,3OAS140: ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c
18,12DGR120tipp: 12dgr120_p --> 12dgr120_c
19,12DGR140tipp: 12dgr140_p --> 12dgr140_c
20,3OAS141: cddec5eACP_c + h_c + malACP_c --> 3ocmrs7eACP_c + ACP_c + co2_c
21,12DGR141tipp: 12dgr141_p --> 12dgr141_c
22,2AGPE140tipp: 2agpe140_p --> 2agpe140_c
23,12DGR160tipp: 12dgr160_p --> 12dgr160_c
24,12DGR161tipp: 12dgr161_p --> 12dgr161_c
25,3OAS160: h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c
26,3OAS161: h_c + malACP_c + tdeACP_c --> 3ocpalm9eACP_c + ACP_c + co2_c
27,3OAS180: h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c
28,3OAS181: h_c + hdeACP_c + malACP_c --> 3ocvac11eACP_c + ACP_c + co2_c
29,3OAS60: butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c
30,3OAS80: h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c
31,3PEPTabcpp: LalaDgluMdap_p + atp_c + h2o_c --> LalaDgluMdap_c + adp_c + h_c + pi_c
32,3PEPTtex: LalaDgluMdap_e <=> LalaDgluMdap_p
33,3UMPtex: 3ump_e <=> 3ump_p
34,42A12BOOXpp: dopa_p + h2o_p + o2_p --> 34dhpac_p + h2o2_p + nh4_p
