source	target	dir	penwidth	style
10fthf_c[c]	GARFT	both	1	solid
GARFT	fgam_c[c]	both	1	solid
10fthf_c[c]	FMETTRS	forward	1	solid
FMETTRS	fmettrna_c[c]	forward	1	solid
10fthf_c[c]	FTHFD	forward	1	solid
FTHFD	for_c[c]	forward	1	solid
10fthf_c[c]	AICART	both	1	solid
AICART	fprica_c[c]	both	1	solid
FMETTRS	thf_c[c]	forward	1	solid
FTHFD	thf_c[c]	forward	1	solid
10fthf_c[c]	ULA4NFT	forward	1	solid
ULA4NFT	thf_c[c]	forward	1	solid
AICART	thf_c[c]	both	1	solid
GARFT	thf_c[c]	both	1	solid
ULA4NFT	udpLa4fn_c[c]	forward	1	solid
12dgr120_c[c]	DAGK120	forward	1	solid
DAGK120	adp_c[c]	forward	1	solid
DAGK120	pa120_c[c]	forward	1	solid
12dgr120_c[c]	PAPA120	back	1	solid
PAPA120	pa120_c[c]	back	1	solid
12dgr120_p[p]	12DGR120tipp	forward	1	solid
12DGR120tipp	12dgr120_c[c]	forward	1	solid
12dgr140_c[c]	DAGK140	forward	1	solid
DAGK140	adp_c[c]	forward	1	solid
DAGK140	pa140_c[c]	forward	1	solid
12dgr140_c[c]	PAPA140	back	1	solid
PAPA140	pa140_c[c]	back	1	solid
12dgr140_p[p]	12DGR140tipp	forward	1	solid
12DGR140tipp	12dgr140_c[c]	forward	1	solid
12dgr141_c[c]	DAGK141	forward	1	solid
DAGK141	adp_c[c]	forward	1	solid
DAGK141	pa141_c[c]	forward	1	solid
12dgr141_c[c]	PAPA141	back	1	solid
PAPA141	pa141_c[c]	back	1	solid
12dgr141_p[p]	12DGR141tipp	forward	1	solid
12DGR141tipp	12dgr141_c[c]	forward	1	solid
12dgr160_c[c]	DAGK160	forward	1	solid
DAGK160	adp_c[c]	forward	1	solid
DAGK160	pa160_c[c]	forward	1	solid
12dgr160_c[c]	PAPA160	back	1	solid
PAPA160	pa160_c[c]	back	1	solid
12dgr160_p[p]	12DGR160tipp	forward	1	solid
12DGR160tipp	12dgr160_c[c]	forward	1	solid
12dgr161_c[c]	DAGK161	forward	1	solid
DAGK161	adp_c[c]	forward	1	solid
DAGK161	pa161_c[c]	forward	1	solid
12dgr161_c[c]	PAPA161	back	1	solid
PAPA161	pa161_c[c]	back	1	solid
12dgr161_p[p]	12DGR161tipp	forward	1	solid
12DGR161tipp	12dgr161_c[c]	forward	1	solid
12dgr180_c[c]	DAGK180	forward	1	solid
DAGK180	adp_c[c]	forward	1	solid
DAGK180	pa180_c[c]	forward	1	solid
12dgr180_c[c]	PAPA180	back	1	solid
PAPA180	pa180_c[c]	back	1	solid
12dgr180_p[p]	12DGR180tipp	forward	1	solid
12DGR180tipp	12dgr180_c[c]	forward	1	solid
12dgr181_c[c]	DAGK181	forward	1	solid
DAGK181	adp_c[c]	forward	1	solid
DAGK181	pa181_c[c]	forward	1	solid
12dgr181_c[c]	PAPA181	back	1	solid
PAPA181	pa181_c[c]	back	1	solid
12dgr181_p[p]	12DGR181tipp	forward	1	solid
12DGR181tipp	12dgr181_c[c]	forward	1	solid
12ppd__R_e[e]	12PPDRtex	both	1	solid
12PPDRtex	12ppd__R_p[p]	both	1	solid
12ppd__R_p[p]	12PPDRtpp	both	1	solid
12PPDRtpp	12ppd__R_c[c]	both	1	solid
12ppd__S_e[e]	12PPDStex	both	1	solid
12PPDStex	12ppd__S_p[p]	both	1	solid
12ppd__S_p[p]	12PPDStpp	both	1	solid
12PPDStpp	12ppd__S_c[c]	both	1	solid
