id	compartment	fillcolor	shape	style	type	label
10fthf_c[c]	c	#ffd8bf	ellipse	filled	cpd_biomass_substrate	10fthf_c[c]
12DGR120tipp	c	#c9fccd	box	filled	rxn	12DGR120tipp
12DGR140tipp	c	#c9fccd	box	filled	rxn	12DGR140tipp
12DGR141tipp	c	#c9fccd	box	filled	rxn	12DGR141tipp
12DGR160tipp	c	#c9fccd	box	filled	rxn	12DGR160tipp
12DGR161tipp	c	#c9fccd	box	filled	rxn	12DGR161tipp
12DGR180tipp	c	#c9fccd	box	filled	rxn	12DGR180tipp
12DGR181tipp	c	#c9fccd	box	filled	rxn	12DGR181tipp
12PPDRtex	p	#c9fccd	box	filled	rxn	12PPDRtex
12PPDRtpp	c	#c9fccd	box	filled	rxn	12PPDRtpp
12PPDStex	p	#c9fccd	box	filled	rxn	12PPDStex
12PPDStpp	c	#c9fccd	box	filled	rxn	12PPDStpp
12dgr120_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr120_c[c]
12dgr120_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr120_p[p]
12dgr140_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr140_c[c]
12dgr140_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr140_p[p]
12dgr141_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr141_c[c]
12dgr141_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr141_p[p]
12dgr160_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr160_c[c]
12dgr160_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr160_p[p]
12dgr161_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr161_c[c]
12dgr161_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr161_p[p]
12dgr180_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr180_c[c]
12dgr180_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr180_p[p]
12dgr181_c[c]	c	#ffd8bf	ellipse	filled	cpd	12dgr181_c[c]
12dgr181_p[p]	p	#ffd8bf	ellipse	filled	cpd	12dgr181_p[p]
12ppd__R_c[c]	c	#ffd8bf	ellipse	filled	cpd	12ppd__R_c[c]
12ppd__R_e[e]	e	#ffd8bf	ellipse	filled	cpd	12ppd__R_e[e]
12ppd__R_e[e]	e	#ffd8bf	ellipse	filled	cpd	12ppd__R_e[e]
12ppd__R_p[p]	p	#ffd8bf	ellipse	filled	cpd	12ppd__R_p[p]
12ppd__S_c[c]	c	#ffd8bf	ellipse	filled	cpd	12ppd__S_c[c]
12ppd__S_e[e]	e	#ffd8bf	ellipse	filled	cpd	12ppd__S_e[e]
12ppd__S_e[e]	e	#ffd8bf	ellipse	filled	cpd	12ppd__S_e[e]
12ppd__S_p[p]	p	#ffd8bf	ellipse	filled	cpd	12ppd__S_p[p]
13dpg_c[c]	c	#ffd8bf	ellipse	filled	cpd	13dpg_c[c]
14GLUCANabcpp	c	#c9fccd	box	filled	rxn	14GLUCANabcpp
14GLUCANtexi	p	#c9fccd	box	filled	rxn	14GLUCANtexi
14glucan_c[c]	c	#ffd8bf	ellipse	filled	cpd	14glucan_c[c]
14glucan_e[e]	e	#ffd8bf	ellipse	filled	cpd	14glucan_e[e]
14glucan_e[e]	e	#ffd8bf	ellipse	filled	cpd	14glucan_e[e]
14glucan_p[p]	p	#ffd8bf	ellipse	filled	cpd	14glucan_p[p]
15dap_c[c]	c	#ffd8bf	ellipse	filled	cpd	15dap_c[c]
15dap_e[e]	e	#ffd8bf	ellipse	filled	cpd	15dap_e[e]
15dap_e[e]	e	#ffd8bf	ellipse	filled	cpd	15dap_e[e]
15dap_p[p]	p	#ffd8bf	ellipse	filled	cpd	15dap_p[p]
1agpe120_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe120_p[p]
1agpe140_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe140_p[p]
1agpe141_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe141_p[p]
1agpe160_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe160_p[p]
1agpe161_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe161_p[p]
1agpe180_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe180_p[p]
1agpe181_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpe181_p[p]
1agpg120_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg120_p[p]
1agpg140_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg140_p[p]
1agpg141_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg141_p[p]
1agpg160_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg160_p[p]
1agpg161_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg161_p[p]
1agpg180_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg180_p[p]
1agpg181_p[p]	p	#ffd8bf	ellipse	filled	cpd	1agpg181_p[p]
1ddecg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1ddecg3p_c[c]
1ddecg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1ddecg3p_p[p]
1hdec9eg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1hdec9eg3p_c[c]
1hdec9eg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1hdec9eg3p_p[p]
1hdecg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1hdecg3p_c[c]
1hdecg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1hdecg3p_p[p]
1odec11eg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1odec11eg3p_c[c]
1odec11eg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1odec11eg3p_p[p]
1odecg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1odecg3p_c[c]
1odecg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1odecg3p_p[p]
1pyr5c_c[c]	c	#ffd8bf	ellipse	filled	cpd	1pyr5c_c[c]
1tdec7eg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1tdec7eg3p_c[c]
1tdec7eg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1tdec7eg3p_p[p]
1tdecg3p_c[c]	c	#ffd8bf	ellipse	filled	cpd	1tdecg3p_c[c]
1tdecg3p_p[p]	p	#ffd8bf	ellipse	filled	cpd	1tdecg3p_p[p]
